iter	RMSE
397	8151.585088
398	8146.236468
399	8137.835236
400	8131.723212
401	8124.883873
402	8117.061742
403	8107.073944
404	8097.541161
405	8092.794901
406	8086.70194
407	8075.970379
408	8070.288583
409	8063.03228
410	8053.772045
411	8046.793395
412	8037.89585
413	8031.749616
414	8025.159726
415	8018.812934
416	8012.045052
417	8004.697644
418	7998.508123
419	7994.220661
420	7988.589015
421	7979.52181
422	7972.705271
423	7967.550768
424	7957.70589
425	7951.925727
426	7947.522733
427	7941.595722
428	7933.913924
429	7926.180951
430	7918.143702
431	7907.477408
432	7899.301186
433	7891.897113
434	7884.879024
435	7877.960677
436	7870.14909
437	7863.418742
438	7855.528231
439	7849.551917
440	7843.56553
441	7837.109463
442	7831.357864
443	7820.79149
444	7815.726473
445	7809.714261
446	7801.765492
447	7795.83547
448	7788.44957
449	7780.94481
450	7776.190234
451	7769.423016
452	7763.100648
453	7756.292806
454	7749.7528
455	7742.807251
456	7740.000127
457	7730.853726
458	7722.898393
459	7716.776874
460	7711.338703
461	7706.516594
462	7697.976328
463	7690.961058
464	7682.414157
465	7676.279774
466	7671.516833
467	7662.845464
468	7656.815945
469	7651.187344
470	7643.94093
471	7638.935157
472	7632.485948
473	7627.57307
474	7621.666751
475	7616.72198
476	7612.60968
477	7603.203262
478	7598.193873
479	7591.520737
480	7583.890646
481	7580.25815
482	7576.015651
483	7567.529723
484	7563.531564
485	7559.282879
486	7552.217962
487	7543.563229
488	7538.14928
489	7532.123948
490	7526.685455
491	7521.459132
492	7515.64104
493	7510.07864
494	7502.802136
495	7496.069267
496	7492.071423
497	7486.808214
498	7481.837107
499	7475.459666
500	7468.840438
501	7464.643721
502	7460.791833
503	7455.59351
504	7451.295952
505	7446.452944
506	7441.565451
507	7436.70879
508	7432.524487
509	7427.232069
510	7420.782413
511	7417.251513
512	7412.188065
513	7404.72687
514	7399.320981
515	7394.684659
516	7389.357389
517	7380.616302
518	7375.672008
519	7372.149211
520	7364.191342
521	7360.681529
522	7356.391216
523	7351.357577
524	7346.709407
525	7342.464387
526	7336.811327
527	7334.234637
528	7327.85434
529	7324.892624
530	7320.900563
531	7314.000391
532	7309.242921
533	7303.920381
534	7300.38301
535	7294.353408
536	7288.397192
537	7284.67259
538	7280.107394
539	7275.598453
540	7267.380923
541	7262.842838
542	7257.394238
543	7251.600706
544	7247.523653
545	7243.801353
546	7236.781153
547	7232.402213
548	7229.542437
549	7225.052486
550	7221.196705
551	7217.266306
552	7212.323681
553	7206.478743
554	7203.465902
555	7200.902647
556	7195.878582
557	7189.910601
558	7184.710721
559	7181.398136
560	7176.874481
561	7172.511398
562	7168.668494
563	7163.247557
564	7157.843277
565	7152.101924
566	7149.250083
567	7145.256646
568	7139.193995
569	7136.207051
570	7130.191958
571	7125.228582
572	7122.066956
573	7117.825195
574	7113.245521
575	7110.427572
576	7107.361318
577	7103.141712
578	7098.147509
579	7094.14377
580	7088.369915
581	7085.34037
582	7082.17408
583	7078.491675
584	7075.686911
585	7071.138456
586	7068.334479
587	7062.853613
588	7059.637934
589	7054.832315
590	7051.098232
591	7047.464389
592	7042.03941
593	7039.728635
594	7032.758095
595	7030.273622
596	7027.885026
597	7024.902965
598	7022.100046
599	7017.87274
600	7013.724355
601	7010.154435
602	7005.787595
603	7001.027227
604	6994.879596
605	6992.082019
606	6986.73853
607	6980.35344
608	6974.909655
609	6971.607074
610	6969.232476
611	6966.669125
612	6963.379569
613	6961.393723
614	6957.143725
615	6953.309348
616	6950.246548
617	6947.762572
618	6942.615342
619	6939.5301
620	6934.281233
621	6931.440221
622	6925.558256
623	6922.825196
624	6919.588469
625	6916.330022
626	6912.582577
627	6907.372417
628	6903.784575
629	6900.610901
630	6897.076224
631	6894.215155
632	6890.679823
633	6887.185125
634	6884.427978
635	6881.353074
636	6879.315676
637	6875.596891
638	6872.908767
639	6868.899457
640	6864.87765
641	6861.450568
642	6858.706075
643	6854.602064
644	6850.956438
645	6846.511121
646	6841.238109
647	6838.751512
648	6836.512361
649	6833.040456
650	6828.248355
651	6825.310842
652	6822.628039
653	6818.336471
654	6815.349754
655	6813.089819
656	6810.576734
657	6805.128709
658	6800.12752
659	6796.546673
660	6793.271099
661	6791.061221
662	6788.213515
663	6785.32309
664	6781.531561
665	6778.499535
666	6776.370249
667	6772.371356
668	6769.20017
669	6766.466986
670	6763.323633
671	6759.423551
672	6757.766336
673	6755.603867
674	6752.644105
675	6749.038984
676	6746.752843
677	6744.101116
678	6742.619593
679	6741.023904
680	6738.482388
681	6736.332838
682	6733.667956
683	6730.197075
684	6727.085547
685	6722.699487
686	6720.304388
687	6716.624236
688	6714.559945
689	6712.07366
690	6710.497543
691	6707.784946
692	6705.001635
693	6701.52825
694	6697.86806
695	6693.789258
696	6690.383238
697	6687.962232
698	6685.484012
699	6681.019644
700	6676.659732
701	6673.151871
702	6670.866342
703	6668.724195
704	6665.59672
705	6662.830818
706	6658.768804
707	6655.404635
708	6652.438759
709	6649.60518
710	6647.51845
711	6644.810626
712	6640.501048
713	6637.999402
714	6635.331914
715	6631.014358
716	6628.437788
717	6624.970747
718	6621.631646
719	6618.820393
720	6614.936686
721	6612.013013
722	6610.457772
723	6606.962077
724	6604.145017
725	6600.590069
726	6597.522251
727	6594.73524
728	6591.869223
729	6589.118537
730	6586.946961
731	6584.326508
732	6581.867336
733	6579.154145
734	6576.364338
735	6573.245406
736	6570.267132
737	6568.386689
738	6566.702577
739	6563.359633
740	6561.543785
741	6559.404772
742	6556.646516
743	6555.179314
744	6551.853414
745	6549.195357
746	6547.475886
747	6546.009764
748	6543.281011
749	6541.297121
750	6537.704987
751	6534.594774
752	6531.494044
753	6529.220565
754	6526.057882
755	6524.083502
756	6522.150932
757	6519.194372
758	6517.274368
759	6513.606417
760	6511.333648
761	6508.44771
762	6507.262591
763	6504.206401
764	6499.979082
765	6497.232081
766	6495.979262
767	6493.878912
768	6491.886977
769	6489.310419
770	6487.479141
771	6485.407764
772	6483.334527
773	6481.12138
774	6477.367474
775	6475.66731
776	6472.953917
777	6469.564029
778	6467.105668
779	6463.992692
780	6461.265658
781	6459.620357
782	6457.670818
783	6455.52573
784	6454.01826
785	6451.398172
786	6449.027104
787	6445.47216
788	6443.177309
789	6440.540742
790	6439.142602
791	6437.117812
792	6435.74819
793	6433.895269
794	6431.78547
795	6429.765976
796	6426.081908
797	6423.070921
798	6420.572692
799	6418.129689
800	6415.801326
801	6413.276077
802	6411.217372
803	6408.64063
804	6407.223197
805	6405.406522
806	6402.962241
807	6400.001731
808	6397.622946
809	6395.297697
810	6392.995356
811	6390.705576
812	6389.776004
813	6386.892351
814	6385.091787
815	6382.175711
816	6379.553361
817	6377.049523
818	6374.539622
819	6372.172193
820	6369.544365
821	6366.281104
822	6364.620703
823	6362.200481
824	6360.296587
825	6357.741976
826	6355.329554
827	6353.543562
828	6352.086562
829	6350.710769
830	6348.724698
831	6346.650921
832	6344.530426
833	6342.500751
834	6340.534881
835	6338.142255
836	6335.099033
837	6333.13
838	6329.965292
839	6327.105908
840	6325.048515
841	6323.186368
842	6320.689044
843	6318.749885
844	6316.627991
845	6315.066433
846	6312.529674
847	6308.755684
848	6306.273829
849	6305.213746
850	6303.997194
851	6301.875585
852	6298.946841
853	6296.897064
854	6295.10451
855	6293.055922
856	6291.453698
857	6289.346255
858	6287.581193
859	6285.235652
860	6282.884136
861	6281.224591
862	6279.051501
863	6277.976883
864	6277.040263
865	6274.915113
866	6272.785752
867	6270.974735
868	6268.021076
869	6266.443851
870	6263.841913
871	6262.528187
872	6260.552496
873	6258.839058
874	6257.674065
875	6255.923258
876	6254.303624
877	6251.638289
878	6250.605041
879	6248.496637
880	6246.95447
881	6245.709423
882	6244.004517
883	6242.169436
884	6240.62948
885	6238.858824
886	6236.063055
887	6233.85591
888	6231.190082
889	6230.244009
890	6228.37967
891	6226.57802
892	6225.004566
893	6222.091239
894	6220.306994
895	6217.111049
896	6216.039961
897	6214.163175
898	6212.641056
899	6211.211164
900	6208.878136
901	6207.604305
902	6206.311193
903	6203.421243
904	6200.472602
905	6198.792766
906	6197.767435
907	6194.858992
908	6193.019469
909	6191.032443
910	6189.639535
911	6186.914098
912	6184.354499
913	6182.391144
914	6180.321102
915	6178.950553
916	6177.433734
917	6175.911359
918	6173.381394
919	6171.173459
920	6169.228429
921	6167.579758
922	6166.52945
923	6164.771999
924	6162.757039
925	6161.263298
926	6159.942883
927	6157.887444
928	6155.832035
929	6155.08946
930	6153.255085
931	6151.402322
932	6149.385053
933	6147.649061
934	6145.714599
935	6144.092209
936	6142.032336
937	6140.230941
938	6138.266854
939	6136.447697
940	6135.213417
941	6133.773609
942	6132.337384
943	6130.423799
944	6129.055097
945	6127.534002
946	6125.863942
947	6124.856084
948	6123.380932
949	6122.237493
950	6120.400691
951	6119.08826
952	6115.56412
953	6114.223342
954	6111.888451
955	6110.872925
956	6109.690327
957	6107.719725
958	6105.929362
959	6104.394779
960	6103.094297
961	6102.241652
962	6099.909239
963	6098.732089
964	6096.398394
965	6095.247877
966	6094.101327
967	6092.549956
968	6091.781983
969	6090.481478
970	6089.677846
971	6087.922726
972	6085.753774
973	6082.64199
974	6081.296554
975	6079.900848
976	6078.748277
977	6077.684398
978	6076.16378
979	6074.199583
980	6071.0446
981	6069.270468
982	6068.004317
983	6067.313608
984	6066.163442
985	6064.889944
986	6063.254285
987	6062.381395
988	6061.199077
989	6059.645895
990	6058.873429
991	6056.474479
992	6055.184285
993	6053.396451
994	6051.876131
995	6049.810231
996	6047.393303
997	6045.43252
998	6043.585597
999	6042.904473
